district,area,production,yield,crop_type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category,yield_calculated,district_encoded,season_encoded,crop_type_encoded
Jamnagar,82.9,305.87613,3689.7,CASTOR,2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early,3.6896999999999998,14,0,0
Devbhumi Dwarka,6.51,11.749899,1804.9,CASTOR,2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early,1.8049,11,0,0
Porbandar,7.45,17.646815,2368.7,CASTOR,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early,2.3687,25,0,0
Junagadh,4.68,8.857835999999999,1892.7,CASTOR,2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early,1.8926999999999998,15,0,0
Gir Somnath,0.85,1.838975,2163.5,CASTOR,2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time,2.1635,13,0,0
Amreli,9.86,25.503876,2586.6,CASTOR,2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time,2.5866000000000002,1,0,0
Bhavnagar,0.33,0.684189,2073.3,CASTOR,2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early,2.0733,6,0,0
Botad,0.59,1.223247,2073.3,CASTOR,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time,2.0733,7,0,0
Anand,6.4,9.85344,1539.6,CASTOR,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.93060109289617,70.43169398907104,on_time,on_time,1.5396,2,0,0
Kheda,53.91,83.215476,1543.6,CASTOR,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.90819672131148,70.06557377049181,on_time,on_time,1.5436,16,0,0
Panchmahal,29.32,42.90102400000001,1463.2,CASTOR,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time,1.4632000000000003,23,0,0
Mahisagar,6.7,7.376030000000001,1100.9,CASTOR,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time,1.1009000000000002,18,0,0
Vadodara,195.9,353.75622000000004,1805.8,CASTOR,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time,1.8058,31,0,0
Chhota Udaipur,13.65,30.539145000000005,2237.3,CASTOR,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time,2.2373000000000003,8,0,0
Narmada,2.42,5.017386,2073.3,CASTOR,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time,2.0733,21,0,0
Bharuch,35.65,58.818935,1649.9,CASTOR,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time,1.6499000000000001,5,0,0
