district,Area,Production,Yield,Crop Type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category
Tapi,1.52,3.151416,2073.3,CASTOR,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time
Kutch,424.25,2098.428547764706,840.8552813671184,TOTAL COTTON (LINT),2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,333.11,1288.9593476470586,657.8099999999998,TOTAL COTTON (LINT),2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,392.96,1265.8172425411767,547.610268811075,TOTAL COTTON (LINT),2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,326.71,1391.137050282353,723.8630545376634,TOTAL COTTON (LINT),2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,640.39,1925.9887464,511.27920000000006,TOTAL COTTON (LINT),2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
Aravalli,376.65,1152.955782,520.3836,TOTAL COTTON (LINT),2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early
Gandhinagar,213.14,919.4739238588236,733.3704,TOTAL COTTON (LINT),2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time
Ahmedabad,1069.97,2412.094609694117,383.2407297849472,TOTAL COTTON (LINT),2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time
Surendranagar,3597.25,7811.911411411766,369.17782749044414,TOTAL COTTON (LINT),2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time
Morbi,1775.4319,4302.665832212471,411.9860589843632,TOTAL COTTON (LINT),2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early
Rajkot,2161.5,839.796151764706,66.0492,TOTAL COTTON (LINT),2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early
Jamnagar,1729.12,1477.0751260235295,145.21997977236978,TOTAL COTTON (LINT),2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early
Devbhumi Dwarka,277.75,734.5971211764706,449.6184,TOTAL COTTON (LINT),2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early
Porbandar,105.1,530.5436925882353,858.158208753568,TOTAL COTTON (LINT),2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early
Junagadh,495.3,1518.407995764706,521.1576,TOTAL COTTON (LINT),2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early
Gir Somnath,116.71,531.4182518117645,774.0647999999998,TOTAL COTTON (LINT),2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time
Amreli,3486.32,5844.545595317647,284.9918398781523,TOTAL COTTON (LINT),2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time
Bhavnagar,2021.8,5176.191045176471,435.2322077752497,TOTAL COTTON (LINT),2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early
Botad,1655.59,1216.773494682353,124.94125604527692,TOTAL COTTON (LINT),2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time
Anand,22.05,85.06547576470588,655.8335999999999,TOTAL COTTON (LINT),2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.930601092896172,70.43169398907104,on_time,on_time
Kheda,161.81,536.055441035294,563.1878436190593,TOTAL COTTON (LINT),2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.908196721311477,70.06557377049181,on_time,on_time
Panchmahal,95.22,160.18585665882352,285.9860914933837,TOTAL COTTON (LINT),2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time
Mahisagar,122.14,325.6529073882353,453.2585087276895,TOTAL COTTON (LINT),2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time
Dahod,3.33,5.619806047058824,286.8970054054054,TOTAL COTTON (LINT),2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time
Vadodara,650.27,2465.7311742352936,644.6157744014023,TOTAL COTTON (LINT),2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time
Chhota Udaipur,737.75,3322.511227058824,765.6074667570315,TOTAL COTTON (LINT),2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time
Narmada,353.78,901.7380177411763,433.3073181525241,TOTAL COTTON (LINT),2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time
Bharuch,515.98,1142.4299264470587,376.39654152486526,TOTAL COTTON (LINT),2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time
Surat,28.84,106.15002310588235,625.7109545076283,TOTAL COTTON (LINT),2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time
Dang,0.0,0.0,0.0,TOTAL COTTON (LINT),2016,Dang,2016-06-11,2016-10-09,13.2,752.5000000000001,117,29.93715846994536,23.051366120218574,75.77049180327869,on_time,on_time
Navsari,0.0,0.0,0.0,TOTAL COTTON (LINT),2016,Navsari,2016-06-12,2016-10-10,8.75,1059.3,113,30.020765027322405,24.536612021857923,76.60655737704919,on_time,on_time
Valsad,0.0,0.0,0.0,TOTAL COTTON (LINT),2016,Valsad,2016-06-01,2016-10-10,15.25,1507.6,122,29.281420765027324,24.816939890710383,77.90163934426229,early,on_time
Tapi,19.22,65.5386552,579.6863363163371,TOTAL COTTON (LINT),2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time
Kutch,208.67,226.933462,1087.5231801408925,TOTAL BAJRA,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,1996.58,4197.1028670000005,2102.1461033367063,TOTAL BAJRA,2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,80.75,185.0545255,2291.6969102167186,TOTAL BAJRA,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,138.43,349.4702409,2524.5267709311565,TOTAL BAJRA,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,14.9,38.9060126,2611.141785234899,TOTAL BAJRA,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
Aravalli,41.150000000000006,91.8252495,2231.4762940461724,TOTAL BAJRA,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early
Gandhinagar,80.59,215.8955971,2678.937797493485,TOTAL BAJRA,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time
Ahmedabad,16.46,44.3828134,2696.404216281896,TOTAL BAJRA,2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time
Surendranagar,62.46,71.170662,1139.459846301633,TOTAL BAJRA,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time
Morbi,16.0349,27.059706882000004,1687.5507101385106,TOTAL BAJRA,2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early
Rajkot,2.75,6.818595,2479.489090909091,TOTAL BAJRA,2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early
Jamnagar,4.94,11.0894805,2244.834109311741,TOTAL BAJRA,2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early
Devbhumi Dwarka,2.8,4.28736,1531.2,TOTAL BAJRA,2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early
Porbandar,0.95,1.8892725,1988.7078947368425,TOTAL BAJRA,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early
Junagadh,23.7,57.055215,2407.393037974684,TOTAL BAJRA,2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early
Gir Somnath,81.12,174.9503081,2156.685257642998,TOTAL BAJRA,2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time
Amreli,35.81,77.8511402,2174.005590617146,TOTAL BAJRA,2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time
Bhavnagar,348.14,832.0969050000001,2390.1215172057223,TOTAL BAJRA,2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early
Botad,6.87,10.3984335,1513.6002183406115,TOTAL BAJRA,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time
Anand,444.83,1106.9853256,2488.55815839759,TOTAL BAJRA,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.930601092896172,70.43169398907104,on_time,on_time
Kheda,415.41,810.8160919999999,1951.8453864856408,TOTAL BAJRA,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.908196721311477,70.06557377049181,on_time,on_time
Panchmahal,40.52,92.0558696,2271.862527147088,TOTAL BAJRA,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time
Mahisagar,108.5,173.6358956,1600.3308350230411,TOTAL BAJRA,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time
Dahod,0.15,0.3745575,2497.05,TOTAL BAJRA,2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time
Vadodara,134.93,298.7501511,2214.11214036908,TOTAL BAJRA,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time
Chhota Udaipur,0.12,0.299646,2497.05,TOTAL BAJRA,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time
Narmada,3.32,5.652788999999999,1702.6472891566266,TOTAL BAJRA,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time
Bharuch,2.3,2.1735,945.0,TOTAL BAJRA,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time
Surat,0.53,1.3234365000000003,2497.05,TOTAL BAJRA,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time
Dang,0.0,0.0,0.0,TOTAL BAJRA,2016,Dang,2016-06-11,2016-10-09,13.2,752.5000000000001,117,29.93715846994536,23.051366120218574,75.77049180327869,on_time,on_time
Navsari,0.0,0.0,0.0,TOTAL BAJRA,2016,Navsari,2016-06-12,2016-10-10,8.75,1059.3,113,30.020765027322405,24.536612021857923,76.60655737704919,on_time,on_time
Valsad,0.0,0.0,0.0,TOTAL BAJRA,2016,Valsad,2016-06-01,2016-10-10,15.25,1507.6,122,29.281420765027324,24.816939890710383,77.90163934426229,early,on_time
Tapi,0.0,0.0,0.0,TOTAL BAJRA,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time
Kutch,0.0,0.0,0.0,TOTAL RICE,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,0.0,0.0,0.0,TOTAL RICE,2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,0.0,0.0,0.0,TOTAL RICE,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,47.28,112.60198797072798,2381.598730345346,TOTAL RICE,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,61.85,176.37145999999998,2851.6,TOTAL RICE,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
Aravalli,14.87,35.078009800000004,2358.9784667115,TOTAL RICE,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early
Gandhinagar,91.84,114.634688,1248.2,TOTAL RICE,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time
Ahmedabad,1477.7,4075.633190443432,2758.092434488348,TOTAL RICE,2016,Ahmedabad,2016-06-19,2016-10-09,6.714285714285714,710.3999999999999,89,32.197814207650275,23.750819672131147,69.46448087431693,on_time,on_time
Surendranagar,3.72,9.65526,2595.5,TOTAL RICE,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time
Morbi,0.0,0.0,0.0,TOTAL RICE,2016,Morbi,2016-06-13,2016-10-08,7.384615384615385,477.2000000000001,87,32.668306010928966,23.97322404371585,68.90710382513662,on_time,early
Rajkot,0.0,0.0,0.0,TOTAL RICE,2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early
Jamnagar,0.0,0.0,0.0,TOTAL RICE,2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early
Devbhumi Dwarka,0.0,0.0,0.0,TOTAL RICE,2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early
Porbandar,0.0,0.0,0.0,TOTAL RICE,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early
Junagadh,0.0,0.0,0.0,TOTAL RICE,2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early
Gir Somnath,0.0,0.0,0.0,TOTAL RICE,2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time
Amreli,0.0,0.0,0.0,TOTAL RICE,2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time
Bhavnagar,0.0,0.0,0.0,TOTAL RICE,2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early
Botad,0.0,0.0,0.0,TOTAL RICE,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time
Anand,1026.46,2821.7695950877737,2749.030254552319,TOTAL RICE,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.930601092896172,70.43169398907104,on_time,on_time
Kheda,1106.14,2918.305354548815,2638.278477000032,TOTAL RICE,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.908196721311477,70.06557377049181,on_time,on_time
Panchmahal,549.09,545.2979457180214,993.0939294432998,TOTAL RICE,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time
Mahisagar,400.05,651.2364494014593,1627.887637548955,TOTAL RICE,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time
Dahod,406.71,479.1438846,1178.0971321088734,TOTAL RICE,2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time
Vadodara,239.65,523.7024971511963,2185.280605679935,TOTAL RICE,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time
Chhota Udaipur,166.35,202.9328265,1219.9147971145171,TOTAL RICE,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time
Narmada,133.66,71.6226132,535.8567499625917,TOTAL RICE,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time
Bharuch,90.3,154.20839970731998,1707.7342160279068,TOTAL RICE,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time
Surat,444.69,1119.8332025832854,2518.2333818689094,TOTAL RICE,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time
Dang,222.05,536.4128465,2415.73,TOTAL RICE,2016,Dang,2016-06-11,2016-10-09,13.2,752.5000000000001,117,29.93715846994536,23.051366120218574,75.77049180327869,on_time,on_time
Navsari,602.41,1596.5638054153296,2650.294326812851,TOTAL RICE,2016,Navsari,2016-06-12,2016-10-10,8.75,1059.3,113,30.020765027322405,24.536612021857923,76.60655737704919,on_time,on_time
Valsad,820.71,2221.15245687996,2706.3791800757385,TOTAL RICE,2016,Valsad,2016-06-01,2016-10-10,15.25,1507.6,122,29.281420765027324,24.816939890710383,77.90163934426229,early,on_time
Tapi,570.57,1518.5732859730783,2661.502157444447,TOTAL RICE,2016,Tapi,2016-06-10,2016-10-10,13.4,751.1,116,30.61857923497268,23.55409836065574,75.63387978142076,on_time,on_time
Kutch,534.49,1171.2306686,2191.3051106662424,TOTAL GROUNDNUT,2016,Kachchh,2016-06-22,2016-10-05,8.714285714285714,345.0,61,32.63333333333333,23.967759562841533,69.5846994535519,on_time,early
Banaskantha,1498.43,4119.9031562,2749.479893088099,TOTAL GROUNDNUT,2016,Banaskantha,2016-06-10,2016-10-08,7.583333333333333,775.5,92,31.19890710382514,22.58415300546448,70.0,on_time,early
Patan,7.85,12.9462,1649.1974522292996,TOTAL GROUNDNUT,2016,Patan,2016-06-12,2016-10-07,6.6,552.3,84,32.125683060109296,23.293442622950824,69.34972677595628,on_time,early
Mehsana,167.41,391.0550754,2335.912283615077,TOTAL GROUNDNUT,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.353005464480876,70.01092896174863,on_time,early
Sabarkantha,541.22,723.0059486,1335.8818014855326,TOTAL GROUNDNUT,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early
